title,impact,time,country
"EU Economic Summit","Medium",2015-02-12T10:15:00Z,"EUR"
"Retail Sales m/m","High",2015-02-12T13:30:00Z,"USD"
"30-y Bond Auction","Low",2015-02-12T18:01:00Z,"USD"
"German Prelim GDP q/q","Medium",2015-02-13T07:00:00Z,"EUR"
"Construction Output m/m","Low",2015-02-13T09:30:00Z,"GBP"
"CB Leading Index m/m","Low",2015-02-13T14:30:00Z,"GBP"
"RBA Gov Stevens Speaks","High",2015-02-09T12:15:00Z,"AUD"
"G20 Meetings","Medium",2015-02-09T09:15:00Z,"ALL"
"M2 Money Stock y/y","Low",2015-02-09T23:50:00Z,"JPY"
"CPI y/y","High",2015-02-10T01:30:00Z,"CNY"
"CPI m/m","Medium",2015-02-10T08:15:00Z,"CHF"
"FOMC Member Lacker Speaks","Medium",2015-02-10T13:20:00Z,"USD"
"JOLTS Job Openings","Medium",2015-02-10T15:00:00Z,"USD"
"Home Loans m/m","Medium",2015-02-11T12:30:00Z,"AUD"
"Crude Oil Inventories","Medium",2015-02-11T15:30:00Z,"USD"
"Core Machinery Orders m/m","Medium",2015-02-11T23:50:00Z,"JPY"
"Unemployment Rate","High",2015-02-12T12:30:00Z,"AUD"
"BOE Inflation Report","High",2015-02-12T10:30:00Z,"GBP"
"Core Retail Sales m/m","High",2015-02-12T13:30:00Z,"USD"
"FPI m/m","Low",2015-02-12T21:45:00Z,"NZD"
"German WPI m/m","Low",2015-02-13T07:00:00Z,"EUR"
"Trade Balance","Low",2015-02-13T10:00:00Z,"EUR"
"Prelim UoM Consumer Sentiment","High",2015-02-13T15:00:00Z,"USD"
"ANZ Job Advertisements m/m","Medium",2015-02-09T12:30:00Z,"AUD"
"Sentix Investor Confidence","Low",2015-02-09T09:30:00Z,"EUR"
"Tertiary Industry Activity m/m","Medium",2015-02-09T23:50:00Z,"JPY"
"PPI y/y","Medium",2015-02-10T01:30:00Z,"CNY"
"Italian Industrial Production m/m","Low",2015-02-10T09:00:00Z,"EUR"
"NFIB Small Business Index","Low",2015-02-10T14:00:00Z,"USD"
"IBD/TIPP Economic Optimism","Low",2015-02-10T15:00:00Z,"USD"
"M2 Money Supply y/y","Low",2015-02-11T08:00:00Z,"CNY"
"10-y Bond Auction","Medium",2015-02-11T18:01:00Z,"USD"
"PPI y/y","Low",2015-02-11T23:50:00Z,"JPY"
"Prelim Machine Tool Orders y/y","Low",2015-02-12T06:00:00Z,"JPY"
"BOE Gov Carney Speaks","High",2015-02-12T10:30:00Z,"GBP"
"NHPI m/m","Medium",2015-02-12T13:30:00Z,"CAD"
"RBA Gov Stevens Speaks","High",2015-02-12T22:30:00Z,"AUD"
"French Prelim Non-Farm Payrolls q/q","Medium",2015-02-13T07:45:00Z,"EUR"
"Flash GDP q/q","Medium",2015-02-13T10:00:00Z,"EUR"
"Prelim UoM Inflation Expectations","Low",2015-02-13T15:00:00Z,"USD"
"REINZ HPI m/m","Low",2015-02-11T02:02:00Z,"NZD"
"PPI m/m","Medium",2015-02-12T08:28:00Z,"CHF"
"NIESR GDP Estimate","Medium",2015-02-10T14:35:00Z,"GBP"
"Westpac Consumer Sentiment","Medium",2015-02-10T23:20:00Z,"AUD"
"30-y Bond Auction","Low",2015-02-11T10:35:00Z,"GBP"
"M2 Money Supply y/y","Low",2015-02-13T09:02:00Z,"CNY"
"Housing Starts","Low",2015-02-09T13:13:00Z,"CAD"
"New Loans","Medium",2015-02-13T09:02:00Z,"CNY"
"Prelim Machine Tool Orders y/y","Low",2015-02-12T05:59:00Z,"JPY"
"Core Retail Sales q/q","Medium",2015-02-15T21:45:00Z,"NZD"
"New Motor Vehicle Sales m/m","Medium",2015-02-16T12:30:00Z,"AUD"
"Bank Holiday","Holiday",2015-02-16T13:00:00Z,"USD"
"Core CPI y/y","Low",2015-02-17T09:30:00Z,"GBP"
"ZEW Economic Sentiment","Medium",2015-02-17T10:00:00Z,"EUR"
"GDT Price Index","High",2015-02-17T13:33:00Z,"NZD"
"CB Leading Index m/m","Low",2015-02-17T23:00:00Z,"AUD"
"MPC Asset Purchase Facility Votes","Medium",2015-02-18T09:30:00Z,"GBP"
"ZEW Economic Expectations","Low",2015-02-18T10:00:00Z,"CHF"
"PPI m/m","High",2015-02-18T13:30:00Z,"USD"
"PPI Input q/q","Medium",2015-02-18T21:45:00Z,"NZD"
"All Industries Activity m/m","Low",2015-02-19T04:30:00Z,"JPY"
"ECB Monetary Policy Meeting Accounts","Medium",2015-02-19T09:00:00Z,"EUR"
"Philly Fed Manufacturing Index","High",2015-02-19T15:00:00Z,"USD"
"Bank Holiday","Holiday",2015-02-20T12:00:00Z,"CNY"
"German Flash Manufacturing PMI","High",2015-02-20T08:30:00Z,"EUR"
"Public Sector Net Borrowing","Medium",2015-02-20T09:30:00Z,"GBP"
"Retail Sales q/q","High",2015-02-15T21:45:00Z,"NZD"
"Revised Industrial Production m/m","Low",2015-02-16T04:30:00Z,"JPY"
"Monetary Policy Meeting Minutes","High",2015-02-17T12:30:00Z,"AUD"
"CPI y/y","High",2015-02-17T09:30:00Z,"GBP"
"German ZEW Economic Sentiment","High",2015-02-17T10:00:00Z,"EUR"
"Mortgage Delinquencies","Medium",2015-02-17T15:00:00Z,"USD"
"MI Leading Index m/m","Low",2015-02-17T23:30:00Z,"AUD"
"MPC Official Bank Rate Votes","High",2015-02-18T09:30:00Z,"GBP"
"German 10-y Bond Auction","Medium",2015-02-18T10:03:00Z,"EUR"
"Wholesale Sales m/m","High",2015-02-18T13:30:00Z,"CAD"
"PPI Output q/q","Low",2015-02-18T21:45:00Z,"NZD"
"BOJ Monthly Report","Low",2015-02-19T05:00:00Z,"JPY"
"Spanish 10-y Bond Auction","Low",2015-02-19T10:03:00Z,"EUR"
"CB Leading Index m/m","Low",2015-02-19T15:00:00Z,"USD"
"Flash Manufacturing PMI","Low",2015-02-20T01:35:00Z,"JPY"
"German Flash Services PMI","Medium",2015-02-20T08:30:00Z,"EUR"
"Core Retail Sales m/m","High",2015-02-20T13:30:00Z,"CAD"
"Prelim GDP Price Index y/y","Low",2015-02-15T23:50:00Z,"JPY"
"Trade Balance","Low",2015-02-16T10:00:00Z,"EUR"
"Foreign Direct Investment ytd/y","Low",2015-02-17T03:03:00Z,"CNY"
"RPI y/y","Medium",2015-02-17T09:30:00Z,"GBP"
"ECOFIN Meetings","Medium",2015-02-17T10:15:00Z,"EUR"
"NAHB Housing Market Index","Medium",2015-02-17T15:00:00Z,"USD"
"Bank Holiday","Holiday",2015-02-18T12:00:00Z,"CNY"
"Average Earnings Index 3m/y","High",2015-02-18T09:30:00Z,"GBP"
"Building Permits","High",2015-02-18T13:30:00Z,"USD"
"Capacity Utilization Rate","Medium",2015-02-18T14:15:00Z,"USD"
"FOMC Member Powell Speaks","Medium",2015-02-18T22:00:00Z,"USD"
"Trade Balance","Medium",2015-02-19T07:00:00Z,"CHF"
"CBI Industrial Order Expectations","Medium",2015-02-19T11:00:00Z,"GBP"
"Natural Gas Storage","Low",2015-02-19T15:30:00Z,"USD"
"German PPI m/m","Low",2015-02-20T07:00:00Z,"EUR"
"Flash Manufacturing PMI","Medium",2015-02-20T09:00:00Z,"EUR"
"Retail Sales m/m","Medium",2015-02-20T13:30:00Z,"CAD"
"Prelim GDP q/q","High",2015-02-15T23:50:00Z,"JPY"
"Eurogroup Meetings","High",2015-02-16T10:15:00Z,"EUR"
"Italian Trade Balance","Low",2015-02-17T09:00:00Z,"EUR"
"PPI Input m/m","Medium",2015-02-17T09:30:00Z,"GBP"
"Empire State Manufacturing Index","Medium",2015-02-17T13:30:00Z,"USD"
"SNB Chairman Jordan Speaks","High",2015-02-17T17:00:00Z,"CHF"
"Monetary Policy Statement","High",2015-02-18T03:03:00Z,"JPY"
"Claimant Count Change","High",2015-02-18T09:30:00Z,"GBP"
"Housing Starts","Medium",2015-02-18T13:30:00Z,"USD"
"Industrial Production m/m","Medium",2015-02-18T14:15:00Z,"USD"
"Trade Balance","Medium",2015-02-18T23:50:00Z,"JPY"
"French CPI m/m","Low",2015-02-19T07:45:00Z,"EUR"
"Unemployment Claims","High",2015-02-19T13:30:00Z,"USD"
"Crude Oil Inventories","Medium",2015-02-19T16:00:00Z,"USD"
"French Flash Manufacturing PMI","High",2015-02-20T08:00:00Z,"EUR"
"Flash Services PMI","Medium",2015-02-20T09:00:00Z,"EUR"
"Flash Manufacturing PMI","Medium",2015-02-20T14:45:00Z,"USD"
"Rightmove HPI m/m","Low",2015-02-16T12:01:00Z,"GBP"
"German Buba Monthly Report","Low",2015-02-16T11:00:00Z,"EUR"
"HPI y/y","Low",2015-02-17T09:30:00Z,"GBP"
"PPI Output m/m","Low",2015-02-17T09:30:00Z,"GBP"
"Foreign Securities Purchases","Medium",2015-02-17T13:30:00Z,"CAD"
"TIC Long-Term Purchases","Low",2015-02-17T21:00:00Z,"USD"
"BOJ Press Conference","High",2015-02-18T06:33:00Z,"JPY"
"Unemployment Rate","Medium",2015-02-18T09:30:00Z,"GBP"
"Core PPI m/m","Medium",2015-02-18T13:30:00Z,"USD"
"FOMC Meeting Minutes","High",2015-02-18T19:00:00Z,"USD"
"Bank Holiday","Holiday",2015-02-19T12:00:00Z,"CNY"
"Current Account","Low",2015-02-19T09:00:00Z,"EUR"
"Consumer Confidence","Low",2015-02-19T15:00:00Z,"EUR"
"Gov Council Member Cote Speaks","Low",2015-02-19T17:15:00Z,"CAD"
"French Flash Services PMI","Medium",2015-02-20T08:00:00Z,"EUR"
"Retail Sales m/m","High",2015-02-20T09:30:00Z,"GBP"
"Rightmove HPI m/m","Low",2015-02-15T23:16:00Z,"GBP"
"BOJ Press Conference","High",2015-02-18T06:31:00Z,"JPY"
"ECB Monetary Policy Meeting Accounts","High",2015-02-19T12:30:00Z,"EUR"
"Eurogroup Meetings","High",2015-02-20T10:15:00Z,"EUR"
"Foreign Direct Investment ytd/y","Low",2015-02-16T01:30:00Z,"CNY"
"Monetary Policy Statement","High",2015-02-18T02:49:00Z,"JPY"
"GDT Price Index","High",2015-02-17T14:33:00Z,"NZD"
"German 10-y Bond Auction","Medium",2015-02-18T10:33:00Z,"EUR"
"Spanish 10-y Bond Auction","Low",2015-02-19T09:43:00Z,"EUR"
"Greek Presidential Elections","Low",2015-02-18T10:15:00Z,"EUR"
"TIC Long-Term Purchases","Low",2015-02-18T21:00:00Z,"USD"
"Consumer Confidence","Low",2015-02-19T14:59:00Z,"EUR"
"German Buba President Weidmann Speaks","Medium",2015-02-19T16:30:00Z,"EUR"
"Monetary Policy Meeting Minutes","Medium",2015-02-22T23:50:00Z,"JPY"
"Existing Home Sales","Medium",2015-02-23T15:00:00Z,"USD"
"Employment Level","Medium",2015-02-24T08:15:00Z,"CHF"
"Belgian NBB Business Climate","Low",2015-02-24T14:00:00Z,"EUR"
"Mortgage Delinquencies","Medium",2015-02-24T15:00:00Z,"USD"
"HSBC Flash Manufacturing PMI","High",2015-02-25T01:45:00Z,"CNY"
"Crude Oil Inventories","Medium",2015-02-25T15:30:00Z,"USD"
"Nationwide HPI m/m","Medium",2015-02-26T07:00:00Z,"GBP"
"Private Loans y/y","Medium",2015-02-26T09:00:00Z,"EUR"
"Targeted LTRO","High",2015-02-26T10:15:00Z,"EUR"
"CPI m/m","High",2015-02-26T13:30:00Z,"USD"
"FOMC Member Lockhart Speaks","Medium",2015-02-26T18:00:00Z,"USD"
"Tokyo Core CPI y/y","Medium",2015-02-26T23:30:00Z,"JPY"
"Private Sector Credit m/m","Low",2015-02-27T12:30:00Z,"AUD"
"KOF Economic Barometer","Medium",2015-02-27T08:00:00Z,"CHF"
"Chicago PMI","Medium",2015-02-27T14:45:00Z,"USD"
"Non-Manufacturing PMI","Medium",2015-03-01T01:00:00Z,"CNY"
"Bank Holiday","Holiday",2015-02-23T12:00:00Z,"CNY"
"SPPI y/y","Low",2015-02-23T23:50:00Z,"JPY"
"Final Core CPI y/y","Low",2015-02-24T10:00:00Z,"EUR"
"ECB President Draghi Speaks","High",2015-02-24T14:00:00Z,"EUR"
"Fed Chair Yellen Testifies","High",2015-02-24T15:00:00Z,"USD"
"UBS Consumption Indicator","Low",2015-02-25T07:00:00Z,"CHF"
"ECB President Draghi Speaks","High",2015-02-25T16:30:00Z,"EUR"
"GfK German Consumer Climate","Medium",2015-02-26T07:00:00Z,"EUR"
"Index of Services 3m/3m","Low",2015-02-26T09:30:00Z,"GBP"
"Unemployment Claims","High",2015-02-26T13:30:00Z,"USD"
"CPI m/m","Medium",2015-02-26T13:30:00Z,"CAD"
"Building Consents m/m","Medium",2015-02-26T21:45:00Z,"NZD"
"Retail Sales y/y","Medium",2015-02-26T23:50:00Z,"JPY"
"Housing Starts y/y","Low",2015-02-27T05:00:00Z,"JPY"
"Spanish Flash CPI y/y","Medium",2015-02-27T08:00:00Z,"EUR"
"Revised UoM Consumer Sentiment","Medium",2015-02-27T15:00:00Z,"USD"
"Credit Card Spending y/y","Low",2015-02-23T02:00:00Z,"NZD"
"Bank Holiday","Holiday",2015-02-24T12:00:00Z,"CNY"
"Final CPI y/y","Medium",2015-02-24T10:00:00Z,"EUR"
"Flash Services PMI","Low",2015-02-24T14:45:00Z,"USD"
"BOC Gov Poloz Speaks","High",2015-02-24T19:00:00Z,"CAD"
"BBA Mortgage Approvals","Medium",2015-02-25T09:30:00Z,"GBP"
"Visitor Arrivals m/m","Low",2015-02-25T21:45:00Z,"NZD"
"German Unemployment Change","Medium",2015-02-26T08:55:00Z,"EUR"
"Second Estimate GDP q/q","High",2015-02-26T09:30:00Z,"GBP"
"Durable Goods Orders m/m","Low",2015-02-26T13:30:00Z,"USD"
"Core CPI m/m","High",2015-02-26T13:30:00Z,"CAD"
"Household Spending y/y","Medium",2015-02-26T23:30:00Z,"JPY"
"Prelim Industrial Production m/m","Medium",2015-02-26T23:50:00Z,"JPY"
"German Import Prices m/m","Low",2015-02-27T07:00:00Z,"EUR"
"Italian Prelim CPI m/m","Low",2015-02-27T10:00:00Z,"EUR"
"Revised UoM Inflation Expectations","Low",2015-02-27T15:00:00Z,"USD"
"German Ifo Business Climate","High",2015-02-23T09:00:00Z,"EUR"
"Inflation Expectations q/q","Medium",2015-02-24T02:00:00Z,"NZD"
"Corporate Profits q/q","Low",2015-02-24T13:30:00Z,"CAD"
"CB Consumer Confidence","High",2015-02-24T15:00:00Z,"USD"
"Construction Work Done q/q","Medium",2015-02-25T12:30:00Z,"AUD"
"New Home Sales","High",2015-02-25T15:00:00Z,"USD"
"Trade Balance","High",2015-02-25T21:45:00Z,"NZD"
"Italian Retail Sales m/m","Low",2015-02-26T09:00:00Z,"EUR"
"Prelim Business Investment q/q","Medium",2015-02-26T09:30:00Z,"GBP"
"Core Durable Goods Orders m/m","Medium",2015-02-26T13:30:00Z,"USD"
"HPI m/m","Low",2015-02-26T14:00:00Z,"USD"
"Unemployment Rate","Low",2015-02-26T23:30:00Z,"JPY"
"ANZ Business Confidence","High",2015-02-27T12:00:00Z,"NZD"
"German Prelim CPI m/m","High",2015-02-27T07:29:00Z,"EUR"
"Prelim GDP q/q","High",2015-02-27T13:30:00Z,"USD"
"Pending Home Sales m/m","Medium",2015-02-27T15:00:00Z,"USD"
"CBI Realized Sales","Medium",2015-02-23T11:00:00Z,"GBP"
"German Final GDP q/q","Low",2015-02-24T07:00:00Z,"EUR"
"S&P/CS Composite-20 HPI y/y","Low",2015-02-24T14:00:00Z,"USD"
"Richmond Manufacturing Index","Low",2015-02-24T15:00:00Z,"USD"
"Wage Price Index q/q","Medium",2015-02-25T12:30:00Z,"AUD"
"Fed Chair Yellen Testifies","High",2015-02-25T15:00:00Z,"USD"
"Private Capital Expenditure q/q","High",2015-02-26T12:30:00Z,"AUD"
"M3 Money Supply y/y","Medium",2015-02-26T09:00:00Z,"EUR"
"Italian 10-y Bond Auction","Medium",2015-02-26T10:03:00Z,"EUR"
"Core CPI m/m","High",2015-02-26T13:30:00Z,"USD"
"Natural Gas Storage","Low",2015-02-26T15:30:00Z,"USD"
"National Core CPI y/y","Low",2015-02-26T23:30:00Z,"JPY"
"GfK Consumer Confidence","Low",2015-02-27T12:05:00Z,"GBP"
"French Consumer Spending m/m","Medium",2015-02-27T07:45:00Z,"EUR"
"Prelim GDP Price Index q/q","Low",2015-02-27T13:30:00Z,"USD"
"Manufacturing PMI","High",2015-03-01T01:00:00Z,"CNY"
